time,tweet_text,wait_time,year,month,day,hour,dayofyear,week,weekday
2016-12-24 05:00:00-08:00,,0.0,2016,12,24,5,359,51,5
2016-12-24 06:00:00-08:00,,0.0,2016,12,24,6,359,51,5
2016-12-24 07:00:00-08:00,,0.0,2016,12,24,7,359,51,5
2016-12-24 08:00:00-08:00,,0.0,2016,12,24,8,359,51,5
2016-12-24 09:00:00-08:00,,0.0,2016,12,24,9,359,51,5
2016-12-24 10:00:00-08:00,,0.0,2016,12,24,10,359,51,5
2016-12-24 11:00:00-08:00,,0.0,2016,12,24,11,359,51,5
2016-12-24 12:00:00-08:00,,0.0,2016,12,24,12,359,51,5
2016-12-24 13:00:00-08:00,ed/king- edmonds wait time - 60 minutes,1.0,2016,12,24,13,359,51,5
2016-12-24 14:00:00-08:00,ed/king- edmonds wait time - 60 minutes,1.0,2016,12,24,14,359,51,5
2016-12-24 15:00:00-08:00,ed/king- edmonds wait time - 60 minutes,1.0,2016,12,24,15,359,51,5
2016-12-24 16:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,16,359,51,5
2016-12-24 17:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,17,359,51,5
2016-12-24 18:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,18,359,51,5
2016-12-24 19:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,19,359,51,5
2016-12-24 20:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,20,359,51,5
2016-12-24 21:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,21,359,51,5
2016-12-24 22:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,22,359,51,5
2016-12-24 23:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,24,23,359,51,5
2016-12-25 00:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,25,0,360,51,6
2016-12-25 01:00:00-08:00,ed/king- edmonds - no extended wait,0.0,2016,12,25,1,360,51,6
2016-12-25 05:00:00-08:00,,0.0,2016,12,25,5,360,51,6
