tweet_text,time,wait_time
edmonds terminal wait time - one hour,2018-02-09 23:35 +0000,1.0
update - no extended wait in edmonds,2018-02-10 02:05 +0000,0.0
update - no extended wait departing edmonds,2018-02-10 03:35 +0000,0.0
edmonds terminal wait time - one hour,2018-02-10 20:25 +0000,1.0
update - no extended wait departing edmonds,2018-02-11 00:30 +0000,0.0
edmonds terminal wait time - one hour,2018-02-16 23:30 +0000,1.0
update - no extended wait departing edmonds,2018-02-17 04:55 +0000,0.0
edmonds terminal wait time - one hour,2018-02-17 19:30 +0000,1.0
update - no extended wait in edmonds,2018-02-18 03:05 +0000,0.0
edmonds terminal status - 1 hour wait,2019-02-01 23:25 +0000,1.0
no extended wait departing edmonds,2019-02-02 02:35 +0000,0.0
edmonds terminal status - one hour wait,2019-02-23 01:15 +0000,1.0
no extended wait departing edmonds,2019-02-23 03:35 +0000,0.0
edmonds terminal wait time - one hour,2018-03-09 23:25 +0000,1.0
update - no extended wait departing edmonds,2018-03-10 04:20 +0000,0.0
edmonds terminal wait time - one hour,2018-03-16 21:35 +0000,1.0
update - no longer an extended wait time departing edmonds,2018-03-17 03:35 +0000,0.0
edmonds terminal wait time - one hour,2018-03-23 21:50 +0000,1.0
edmonds terminal wait time - 90 minutes,2018-03-30 22:10 +0000,1.5
update - edmonds terminal wait time - one hour,2018-03-31 02:05 +0000,1.0
update - no extended wait departing edmonds,2018-03-31 03:05 +0000,0.0
edmonds terminal status - one hour wait,2019-03-01 23:45 +0000,1.0
no extended wait departing edmonds,2019-03-02 04:00 +0000,0.0
edmonds terminal status - one hour wait,2019-03-03 02:05 +0000,1.0
no extended wait departing edmonds,2019-03-05 03:45 +0000,0.0
edmonds terminal status - 90 minute wait,2019-03-09 00:00 +0000,1.5
update - edmonds terminal status - 1 hour wait,2019-03-09 04:15 +0000,1.0
no extended wait departing edmonds,2019-03-09 05:00 +0000,0.0
edmonds terminal status - 1 hour wait,2019-03-15 20:45 +0000,1.0
edmonds terminal status - 1 hour wait,2019-03-15 22:00 +0000,1.0
update - edmonds terminal status - 2 hour wait,2019-03-15 23:30 +0000,2.0
update - edmonds terminal status - 1 hour wait,2019-03-16 02:45 +0000,1.0
no extended wait departing edmonds,2019-03-16 03:45 +0000,0.0
edmonds terminal status - 1 hour wait,2019-03-16 20:05 +0000,1.0
edmonds terminal status - 1 hour wait,2019-03-20 23:10 +0000,1.0
no extended wait departing edmonds,2019-03-21 03:40 +0000,0.0
edmonds terminal status - 1 hour wait,2019-03-22 20:30 +0000,1.0
update - edmonds terminal status - 2 hour wait,2019-03-23 00:05 +0000,2.0
update - edmonds terminal status - 1 hour wait,2019-03-23 02:20 +0000,1.0
no extended wait departing edmonds,2019-03-23 04:30 +0000,0.0
edmonds terminal status - 1 hour wait,2019-03-23 17:35 +0000,1.0
edmonds terminal status - 1 hour wait,2019-03-27 23:20 +0000,1.0
no extended wait departing edmonds,2019-03-28 02:30 +0000,0.0
edmonds terminal status - 1 hour wait,2019-03-29 20:25 +0000,1.0
edmonds terminal status - 2 hour wait,2019-03-29 22:55 +0000,2.0
edmonds terminal status - 1 hour wait,2019-03-30 17:40 +0000,1.0
edmonds terminal status - 2 hour wait,2019-03-30 23:20 +0000,2.0
no extended wait departing edmonds,2019-03-31 02:40 +0000,0.0
no extended wait departing edmonds,2018-07-01 01:05 +0000,0.0
edmonds terminal wait time - 90 minutes,2018-07-03 00:10 +0000,1.5
no extended wait departing edmonds,2018-07-03 03:55 +0000,0.0
edmonds terminal wait time - one hour,2018-07-03 20:20 +0000,1.0
edmonds terminal wait time - 90 minutes,2018-07-03 20:55 +0000,1.5
no extended wait departing edmonds,2018-07-04 03:50 +0000,0.0
edmonds terminal wait time - 90 minutes,2018-07-05 19:50 +0000,1.5
edmonds terminal wait time - one hour,2018-07-06 01:20 +0000,1.0
no extended wait departing edmonds,2018-07-06 01:55 +0000,0.0
edmonds terminal wait time - two hour,2018-07-06 21:00 +0000,2.0
edmonds terminal wait time - two hours,2018-07-07 01:35 +0000,2.0
no extended wait departing edmonds,2018-07-07 03:40 +0000,0.0
edmonds terminal wait time - one hour,2018-07-07 16:35 +0000,1.0
update-edmonds terminal wait time - two hours,2018-07-07 18:00 +0000,2.0
update-edmonds terminal wait time - one hour,2018-07-07 23:20 +0000,1.0
no extended wait departing edmonds,2018-07-08 02:40 +0000,0.0
edmonds terminal wait time - one hour,2018-07-11 23:00 +0000,1.0
no extended wait departing edmonds,2018-07-12 02:30 +0000,0.0
edmonds terminal wait time - one hour,2018-07-12 20:50 +0000,1.0
no extended wait departing edmonds,2018-07-13 03:40 +0000,0.0
edmonds terminal wait time - one hour,2018-07-13 19:55 +0000,1.0
edmonds terminal wait time - two hours,2018-07-13 20:30 +0000,2.0
update - edmonds terminal wait time - three hours,2018-07-13 22:40 +0000,3.0
update - edmonds terminal wait time - one hour,2018-07-14 01:55 +0000,1.0
edmonds terminal wait time - one hour,2018-07-14 15:05 +0000,1.0
update: edmonds terminal wait time - three hours,2018-07-14 15:55 +0000,3.0
no extended wait departing edmonds,2018-07-14 23:25 +0000,0.0
ed/king - edmonds terminal - one hour wait,2018-07-16 19:15 +0000,1.0
no extended wait departing edmonds,2018-07-17 02:35 +0000,0.0
no extended wait departing edmonds or kingston,2018-07-17 02:40 +0000,0.0
ed/king - edmonds terminal - one hour wait,2018-07-18 19:50 +0000,1.0
edmonds terminal status - one hour wait,2018-07-18 20:45 +0000,1.0
update - edmonds terminal status - two hour wait,2018-07-18 22:30 +0000,2.0
no extended wait departing edmonds,2018-07-19 02:35 +0000,0.0
edmonds terminal status - one hour wait,2018-07-19 18:25 +0000,1.0
update - edmonds terminal status - two hour wait,2018-07-19 21:10 +0000,2.0
update - edmonds terminal status - one boat wait,2018-07-20 03:35 +0000,1.0
no extended wait departing edmonds,2018-07-20 04:45 +0000,0.0
update - edmonds terminal status - three hour wait,2018-07-20 23:25 +0000,3.0
update - edmonds terminal status - one hour wait,2018-07-21 02:20 +0000,1.0
edmonds terminal wait time - one hour,2018-07-21 14:55 +0000,1.0
update:   edmonds terminal wait time - two hours,2018-07-21 15:25 +0000,2.0
update:   edmonds terminal wait time - three hours,2018-07-21 21:10 +0000,3.0
update:   edmonds terminal wait time - one hour,2018-07-21 23:00 +0000,1.0
no extended wait departing edmonds,2018-07-22 02:45 +0000,0.0
edmonds terminal wait time - two hours,2018-07-22 17:30 +0000,2.0
no extended wait departing edmonds,2018-07-23 00:40 +0000,0.0
update - edmonds terminal status - one hour wait,2018-07-23 19:20 +0000,1.0
update - edmonds terminal status - two hour wait,2018-07-23 23:05 +0000,2.0
no extended wait departing edmonds,2018-07-24 03:25 +0000,0.0
edmonds terminal status - one hour wait,2018-07-24 23:15 +0000,1.0
no extended wait departing edmonds,2018-07-25 02:10 +0000,0.0
edmonds terminal wait time - two hours,2018-07-25 16:55 +0000,2.0
edmonds terminal wait time - one hour,2018-07-25 18:45 +0000,1.0
edmonds terminal wait time - one hour,2018-07-25 19:55 +0000,1.0
edmonds terminal - two hour wait,2018-07-25 20:05 +0000,2.0
update - edmonds terminal status - one hour wait,2018-07-25 21:55 +0000,1.0
update - edmonds terminal status - two hour wait,2018-07-25 22:10 +0000,2.0
no extended wait departing edmonds,2018-07-26 02:20 +0000,0.0
edmonds terminal status - two hour wait,2018-07-26 17:40 +0000,2.0
edmonds terminal status - two hour wait,2018-07-27 16:45 +0000,2.0
edmonds terminal status - one hour wait,2018-07-28 02:20 +0000,1.0
no extended wait departing edmonds,2018-07-28 05:20 +0000,0.0
no extended wait departing edmonds,2018-07-28 23:45 +0000,0.0
no extended wait departing edmonds,2018-07-29 23:20 +0000,0.0
edmonds wait time - one hour,2018-07-30 19:25 +0000,1.0
update - edmonds wait time - two hours,2018-07-30 21:20 +0000,2.0
update - edmonds wait time - one hour,2018-07-30 23:45 +0000,1.0
edmonds terminal status - one hour wait,2019-07-01 22:45 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-02 01:25 +0000,0.0
edmonds terminal status - one hour wait,2019-07-02 23:05 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-03 01:55 +0000,0.0
edmonds terminal status - two hour wait,2019-07-03 18:40 +0000,2.0
edmonds terminal status - one hour wait,2019-07-04 02:40 +0000,1.0
edmonds terminal status - one hour wait,2019-07-04 14:45 +0000,1.0
edmonds terminal status - two hour wait,2019-07-04 17:30 +0000,2.0
update - edmonds terminal status - one hour wait,2019-07-04 18:05 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-04 19:20 +0000,0.0
edmonds terminal status - one hour wait,2019-07-05 18:20 +0000,1.0
update - edmonds terminal status - one hour wait,2019-07-05 23:25 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-06 00:50 +0000,0.0
edmonds terminal status - one hour wait,2019-07-06 19:45 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-06 22:40 +0000,0.0
edmonds terminal status - one hour wait,2019-07-08 21:30 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-09 01:35 +0000,0.0
edmonds terminal status - one hour wait,2019-07-10 23:15 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-11 02:20 +0000,0.0
edmonds terminal status - one hour wait,2019-07-11 21:05 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-12 02:15 +0000,0.0
edmonds terminal status - 90 minute wait,2019-07-12 19:25 +0000,1.5
edmonds terminal status - 2 hour wait,2019-07-12 19:50 +0000,2.0
edmonds terminal status - three hour wait,2019-07-12 21:35 +0000,3.0
"edmonds terminal status - three hour wait, late vessels",2019-07-12 22:05 +0000,3.0
"edmonds terminal status - two hour wait, late vessels",2019-07-12 23:45 +0000,2.0
"edmonds terminal status - one hour wait, late vessels",2019-07-13 02:10 +0000,1.0
"no extended wait for drivers departing edmonds, late vessels",2019-07-13 04:05 +0000,0.0
edmonds terminal status - 1 hour wait,2019-07-13 16:15 +0000,1.0
update: edmonds terminal status - 2 hour wait,2019-07-13 18:45 +0000,2.0
no extended wait for drivers departing edmonds,2019-07-13 23:35 +0000,0.0
edmonds terminal status - 1 hour wait,2019-07-14 20:45 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-14 23:30 +0000,0.0
edmonds terminal status - 1 hour wait,2019-07-18 19:15 +0000,1.0
edmonds terminal status - one hour wait,2019-07-18 21:00 +0000,1.0
edmonds terminal status - two hour wait,2019-07-18 21:05 +0000,2.0
no extended wait for drivers departing edmonds,2019-07-19 02:20 +0000,0.0
edmonds terminal status - one hour wait,2019-07-19 16:00 +0000,1.0
update: edmonds terminal status - two hour wait,2019-07-19 17:35 +0000,2.0
update: edmonds terminal status - three hour wait,2019-07-19 21:45 +0000,3.0
update: edmonds terminal status - two hour wait,2019-07-20 00:10 +0000,2.0
update: edmonds terminal status - one hour wait,2019-07-20 02:35 +0000,1.0
no extended wait departing edmonds and kingston,2019-07-20 03:35 +0000,0.0
edmonds terminal status - one hour wait,2019-07-20 14:40 +0000,1.0
update: edmonds terminal status - three hour wait,2019-07-20 17:35 +0000,3.0
update - edmonds terminal status - two hour wait,2019-07-20 21:15 +0000,2.0
update - edmonds terminal status - one hour wait,2019-07-20 21:30 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-21 01:30 +0000,0.0
edmonds terminal status - two hour wait,2019-07-21 18:10 +0000,2.0
edmonds terminal status - three hour wait,2019-07-21 19:10 +0000,3.0
update - edmonds terminal status - two hour wait,2019-07-21 21:15 +0000,2.0
no extended wait for drivers departing edmonds,2019-07-21 22:30 +0000,0.0
edmonds terminal status - one hour wait,2019-07-25 19:10 +0000,1.0
