tweet_text,time,wait_time
kingston terminal wait time - one hour,2018-02-12 00:55 +0000,1.0
update - no extended wait departing kingston,2018-02-12 03:10 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-02-17 20:00 +0000,1.0
update - no extended wait departing kingston,2018-02-17 23:35 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-02-19 23:55 +0000,1.0
update - no extended wait departing kingston,2018-02-20 02:20 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-02-25 19:50 +0000,1.0
update - no extended wait departing kingston,2018-02-26 05:00 +0000,0.0
update -kingston terminal status-no wait at kingston,2019-02-19 02:20 +0000,0.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-02-24 22:40 +0000,1.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-03-03 19:30 +0000,1.0
update - no extended wait departing kingston,2018-03-04 00:05 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-03-05 00:15 +0000,1.0
update - no extended wait departing kingston,2018-03-05 03:20 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-03-11 21:50 +0000,1.0
kingston terminal - 2 hour wait -  no wsp boarding pass required,2018-03-12 00:00 +0000,2.0
update - no extended wait departing kingston,2018-03-12 04:20 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass required,2018-03-18 20:30 +0000,1.0
update - kingston terminal - 1 hour wait -  no wsp boarding pass,2018-03-19 01:10 +0000,1.0
update - no extended wait departing kingston,2018-03-19 03:00 +0000,0.0
update - kingston terminal - 1 hour wait -  no wsp boarding pass,2018-03-24 17:25 +0000,1.0
update - no extended wait departing kingston,2018-03-24 20:00 +0000,0.0
update - kingston terminal - 1 hour wait -  no wsp boarding pass,2018-03-25 18:15 +0000,1.0
update - kingston terminal - 2 hour wait -  no wsp boarding pass,2018-03-25 22:40 +0000,2.0
update - no extended wait departing kingston,2018-03-26 03:30 +0000,0.0
update - kingston terminal - 1 hour wait -  no wsp boarding pass,2018-03-31 17:20 +0000,1.0
update - no extended wait departing kingston,2018-03-31 19:40 +0000,0.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-02 22:15 +0000,1.0
no extended wait departing kingston,2019-03-03 00:40 +0000,0.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-03 21:30 +0000,1.0
no extended wait departing kingston,2019-03-04 04:30 +0000,0.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-05 18:00 +0000,1.0
no extended wait departing kingston,2019-03-05 20:30 +0000,0.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2019-03-09 00:05 +0000,1.0
no extended wait departing kingston,2019-03-09 05:05 +0000,0.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-09 18:45 +0000,1.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-10 19:15 +0000,1.0
update -kingston terminal status - 2 hour wait. no wsp boarding pass,2019-03-10 23:35 +0000,2.0
update -kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-11 02:45 +0000,1.0
kingston terminal status - 1 hour wait. no wsp boarding pass,2019-03-16 20:05 +0000,1.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2019-03-17 20:30 +0000,1.0
